task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	9b/3cd3eb	1105	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-10-23 16:46:34.799	2.1s	1s	62.1%	8.3 MB	14.1 MB	685.1 KB	748 B
11	7c/0bb53c	1392	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	COMPLETED	0	2023-10-23 16:46:36.993	11s	9s	257.5%	672 MB	4.3 GB	34.5 MB	3.8 MB
7	a7/eeb532	2034	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5181310)	COMPLETED	0	2023-10-23 16:46:48.010	20.7s	18s	220.0%	1 GB	4.3 GB	73.5 MB	3.9 MB
10	2d/ba89c2	2961	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5556343)	COMPLETED	0	2023-10-23 16:47:08.763	15.8s	14s	185.8%	181.7 MB	186.8 MB	38.9 MB	9.1 MB
6	6d/e86c4b	3776	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5181310)	COMPLETED	0	2023-10-23 16:47:24.587	18s	16s	461.8%	2.1 GB	2.8 GB	80.4 MB	40 MB
8	59/392042	4655	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5405022)	COMPLETED	0	2023-10-23 16:47:42.556	9.1s	7s	189.6%	1.2 GB	1.8 GB	36.7 MB	7.5 MB
9	cc/8dce7f	5313	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5405022)	COMPLETED	0	2023-10-23 16:47:51.702	9.8s	7s	288.0%	455.5 MB	4.3 GB	33.2 MB	3.6 MB
13	66/db4dde	5962	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	COMPLETED	0	2023-10-23 16:48:01.470	10.9s	8s	259.4%	622.6 MB	4.3 GB	33.3 MB	3.9 MB
14	b6/013be4	6654	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	COMPLETED	0	2023-10-23 16:48:12.331	10.7s	8s	278.8%	381.5 MB	4.3 GB	37.5 MB	4 MB
12	b0/7a7b3e	7382	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5743893)	COMPLETED	0	2023-10-23 16:48:23.006	16.3s	15s	158.8%	176 MB	181 MB	36.5 MB	6.4 MB
15	58/9c5c29	8200	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRR13500958)	COMPLETED	0	2023-10-23 16:48:39.290	15.3s	13s	139.5%	88.2 MB	93.2 MB	44.8 MB	13.1 MB
3	9f/d9d316	9017	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2023-10-23 16:48:54.633	1.9s	0ms	98.5%	10.9 MB	16 MB	679.3 KB	4.1 KB
1	45/0415b5	9276	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2023-10-23 16:48:56.549	1.7s	16ms	53.3%	0	0	91.6 KB	5 KB
5	be/c58146	9471	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-23 16:48:58.277	1.8s	0ms	52.6%	3.1 MB	5.4 MB	136.1 KB	4.8 KB
